AAPL_x,AAPL_y
25,260694
26,502078
27,725581
28,932529
29,1124147
30,1301571
31,1465852
32,1617965
33,1758810
34,1889222
35,2009974
36,2121781
37,2225307
38,2321163
39,2409920
40,2492101
41,2568195
42,2638653
43,2703891
44,2764297
45,2820229
46,2872017
47,2919970
48,2964370
49,3005481
50,3043547
51,3078793
52,3111429
53,3141647
54,3169627
55,3195534
56,3219522
57,3241733
58,3262299
59,3281341
60,3298973
61,3315299
62,3330416
63,3344412
64,3357372
65,3369372
